Date,Opponent,W/L,Number of Tweets
"Fri, Nov 10, 2017",Cornell,W,1614
"Tue, Nov 14, 2017",Iona,W,1441
"Sat, Nov 18, 2017",Texas Southern,W,2168
"Mon, Nov 20, 2017",Oakland,W,2261
"Wed, Nov 22, 2017",Toledo,W,2467
"Mon, Nov 27, 2017",Maryland,W,2481
"Sat, Dec 2, 2017",KansasÂ (2),,0
"Tue, Dec 5, 2017",Connecticut,,0
"Sat, Dec 9, 2017",Colgate,,0
"Sat, Dec 16, 2017",Georgetown,,0
"Tue, Dec 19, 2017",Buffalo,,0
"Fri, Dec 22, 2017",St. Bonaventure,,0
"Wed, Dec 27, 2017",Eastern Michigan,,0
"Sun, Dec 31, 2017",Virginia Tech,,0
"Wed, Jan 3, 2018",Wake Forest,,0
"Sat, Jan 6, 2018",Notre DameÂ (5),,0
"Tue, Jan 9, 2018",VirginiaÂ (18),,0
"Sat, Jan 13, 2018",Florida State,,0
"Tue, Jan 16, 2018",Pittsburgh,,0
"Wed, Jan 24, 2018",Boston College,,0
"Sat, Jan 27, 2018",Pittsburgh,,0
"Wed, Jan 31, 2018",Georgia Tech,,0
"Sat, Feb 3, 2018",VirginiaÂ (18),,0
"Mon, Feb 5, 2018",LouisvilleÂ (17),,0
"Sun, Feb 11, 2018",Wake Forest,,0
"Wed, Feb 14, 2018",North Carolina State,,0
"Sat, Feb 17, 2018",Miami (FL)Â (10),,0
"Wed, Feb 21, 2018",North CarolinaÂ (13),,0
"Sat, Feb 24, 2018",DukeÂ (1),,0
"Wed, Feb 28, 2018",Boston College,,0
"Sat, Mar 3, 2018",Clemson,,0
